text,tactic
"cdns adversaries may search content delivery network cdn data about victims that can be used during targeting cdns allow an organization to host content from a distributed, load balanced array of servers cdns may also allow organizations to customize content delivery based on the requestor’s geographical region adversaries may search cdn data to gather actionable information threat actors can use online resources and lookup tools to harvest information about content servers within a cdn adversaries may also seek and target cdn misconfigurations that leak sensitive information not intended t pre",reconnaissance
"user activity based checks adversaries may employ various user activity checks to detect and avoid virtualization and analysis environments this may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment vme or sandbox if the adversary detects a vme, they may alter their malware to disengage from the victim or conceal the core functions of the implant they may also search for vme artifacts before dropping secondary or additional payloads adversaries may use the information learned from virtualization sandbox evasion linux macos windows",defense-evasion+discovery
"cloud service hijacking adversaries may leverage compromised software as a service saas applications to complete resource intensive tasks, which may impact hosted service availability for example, adversaries may leverage email and messaging services, such as aws simple email service ses , aws simple notification service sns , sendgrid, and twilio, in order to send large quantities of spam phishing emails and sms messages citation: invictus ir dangerdev 2024 citation: permiso ses abuse 2023 citation: sentinellabs sns sender 2024 alternatively, they may engage saas",impact
"cloud accounts adversaries may create accounts with cloud providers that can be used during targeting adversaries can use cloud accounts to further their operations, including leveraging cloud storage services such as dropbox, mega, microsoft onedrive, or aws s3 buckets for exfiltration to cloud storage or to upload tool cloud accounts can also be used in the acquisition of infrastructure, such as virtual private server or serverless pre",resource-development
"software deployment tools adversaries may gain access to and use centralized software suites installed within an enterprise to execute commands and move laterally through the network configuration management and software deployment applications may be used in an enterprise network or cloud environment for routine administration purposes these systems may also be integrated into ci cd pipelines examples of such solutions include: sccm, hbss, altiris, aws systems manager, microsoft intune, azure arc, and gcp deployment manager access to network wide or enterprise wide endpoint management software may enable an adv linux macos network devices saas windows",execution+lateral-movement
exfiltration over c2 channel adversaries may steal data by exfiltrating it over an existing command and control channel stolen data is encoded into the normal communications channel using the same protocol as command and control communications esxi linux macos windows,exfiltration
"parent pid spoofing adversaries may spoof the parent process identifier ppid of a new process to evade process monitoring defenses or to elevate privileges new processes are typically spawned directly from their parent, or calling, process unless explicitly specified one way of explicitly assigning the ppid of a new process is via the <code>createprocess< code> api call, which supports a parameter that defines the ppid to use citation: didierstevens selectmyparent nov 2009 this functionality is used by windows features such as user account control uac to correctly set the ppid after a requested elevated p windows",defense-evasion+privilege-escalation
"gather victim org information adversaries may gather information about the victim's organization that can be used during targeting information about an organization may include a variety of details, including the names of divisions departments, specifics of business operations, as well as the roles and responsibilities of key employees adversaries may gather this information in various ways, such as direct elicitation via phishing for information information about an organization may also be exposed to adversaries via online or other accessible data sets ex: social media pre",reconnaissance
"forge web credentials adversaries may forge credential materials that can be used to gain access to web applications or internet services web applications and services hosted in cloud saas environments or on premise servers often use session cookies, tokens, or other materials to authenticate and authorize user access adversaries may generate these credential materials in order to gain access to web resources this differs from steal web session cookie steal application access token and other similar behaviors in that t saas windows macos linux iaas office suite identity provider",credential-access
"multi factor authentication request generation adversaries may attempt to bypass multi factor authentication mfa mechanisms and gain access to accounts by generating mfa requests sent to users adversaries in possession of credentials to valid accounts may be unable to complete the login process if they lack access to the 2fa or mfa mechanisms required as an additional credential and security control to circumvent this, adversaries may abuse the automatic generation of push notifications to mfa services such as duo push, microsoft authenticator, okta, or similar services to have the user gra windows linux macos iaas saas office suite identity provider",credential-access
"compromise host software binary adversaries may modify host software binaries to establish persistent access to systems software binaries executables provide a wide range of system commands or services, programs, and libraries common software binaries are ssh clients, ftp clients, email clients, web browsers, and many other user or server applications adversaries may establish persistence though modifications to host software binaries for example, an adversary may replace or otherwise infect a legitimate application binary or support files with a backdoor since these binaries may be routinely executed by applications esxi linux macos windows",persistence
"chat messages adversaries may directly collect unsecured credentials stored or passed through user communication services credentials may be sent and stored in user chat communication applications such as email, chat services like slack or teams, collaboration tools like jira or trello, and any other services that support user communication users may share various forms of credentials such as usernames and passwords, api keys, or authentication tokens on private or public corporate internal communications channels rather than accessing the stored chat logs i e , credentials in files saas office suite",credential-access
"powershell adversaries may abuse powershell commands and scripts for execution powershell is a powerful interactive command line interface and scripting environment included in the windows operating system citation: technet powershell adversaries can use powershell to perform a number of actions, including discovery of information and execution of code examples include the <code>start process< code> cmdlet which can be used to run an executable and the <code>invoke command< code> cmdlet which runs a command locally or on a remote computer though administrator permissions are required to use powershe windows",execution
"change default file association adversaries may establish persistence by executing malicious content triggered by a file type association when a file is opened, the default program used to open the file also called the file association or handler is checked file association selections are stored in the windows registry and can be edited by users, administrators, or programs that have registry access or by administrators using the built in assoc utility citation: microsoft change default programs citation: microsoft file handlers citation: microsoft assoc oct 2017 applications can modify the file association for a giv windows",persistence+privilege-escalation
"vdso hijacking adversaries may inject malicious code into processes via vdso hijacking in order to evade process based defenses as well as possibly elevate privileges virtual dynamic shared object vdso hijacking is a method of executing arbitrary code in the address space of a separate live process vdso hijacking involves redirecting calls to dynamically linked shared libraries memory protections may prevent writing executable code to a process via ptrace system calls however, an adversary may hijack the syscall interface code stubs mapped into a proce linux",defense-evasion+privilege-escalation
"file transfer protocols adversaries may communicate using application layer protocols associated with transferring files to avoid detection network filtering by blending in with existing traffic commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server protocols such as smb citation: us cert ta18 074a , ftp citation: eset machete july 2019 , ftps, and tftp that transfer files may be very common in environments packets produced from these protocols may have many fields and headers in which data can be concealed data could a esxi linux macos network devices windows",command-and-control
"selective exclusion adversaries may intentionally exclude certain files, folders, directories, file types, or system components from encryption or tampering during a ransomware or malicious payload execution some file extensions that adversaries may avoid encrypting include , , and citation: palo alto unit 42 medusa group medusa ransomware january 2024 adversaries may perform this behavior to avoid alerting users, to evade detection by security tools and analysts, or, in the case of ransomware, to ensure that the system remains operational enough to deliver the ransom notice exclusions windows",defense-evasion
"exploitation for credential access adversaries may exploit software vulnerabilities in an attempt to collect credentials exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary controlled code credentialing and authentication mechanisms may be targeted for exploitation by adversaries as a means to gain access to useful credentials or circumvent the process to gain authenticated access to systems one example of this is , which targets kerberos and can be used to forg linux windows macos identity provider",credential-access
"emond adversaries may gain persistence and elevate privileges by executing malicious content triggered by the event monitor daemon emond emond is a launch daemon that accepts events from various services, runs them through a simple rules engine, and takes action the emond binary at <code> sbin emond< code> will load any rules from the <code> etc emond d rules < code> directory and take action once an explicitly defined event takes place the rule files are in the plist format and define the name, event type, and action to take some examples of e macos",persistence+privilege-escalation
"one way communication adversaries may use an existing, legitimate external web service as a means for sending commands to a compromised system without receiving return output over the web service channel compromised systems may leverage popular websites and social media to host command and control c2 instructions those infected systems may opt to send the output from those commands back over a different c2 channel, including to another distinct web service alternatively, compromised systems may return no output at all in cases where adversaries want to send instructions to systems and do not want a response linux macos windows esxi",command-and-control
"gather victim network information adversaries may gather information about the victim's networks that can be used during targeting information about networks may include a variety of details, including administrative data ex: ip ranges, domain names, etc as well as specifics regarding its topology and operations adversaries may gather this information in various ways, such as direct collection actions via active scanning or phishing for information information about networks may also be exposed to adversaries via online or other ac pre",reconnaissance
"exploitation of remote services adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary controlled code a common goal for post compromise exploitation of remote services is for lateral movement to enable access to a remote system an adversary may need to determine if the remote system is in a vulnerable state, which may be done through network service discovery linux windows macos esxi",lateral-movement
"internal spearphishing after they already have access to accounts or systems within the environment, adversaries may use internal spearphishing to gain access to additional information or compromise other users within the same organization internal spearphishing is multi staged campaign where a legitimate account is initially compromised either by controlling the user's device or by compromising the account credentials of the user adversaries may then attempt to take advantage of the trusted internal account to increase the likelihood of tricking more victims into falling for phish attempts, often incorporating i linux macos office suite saas windows",lateral-movement
"services file permissions weakness adversaries may execute their own malicious payloads by hijacking the binaries used by services adversaries may use flaws in the permissions of windows services to replace the binary that is executed upon service start these service processes may automatically execute specific binaries as part of their functionality or to perform other actions if the permissions on the file system directory containing a target binary, or permissions on the binary itself are improperly set, then the target binary may be overwritten with another binary using user level permissions and executed by the original windows",defense-evasion+execution
"registry run keys startup folder adversaries may achieve persistence by adding a program to a startup folder or referencing it with a registry run key adding an entry to the ""run keys"" in the registry or startup folder will cause the program referenced to be executed when a user logs in citation: microsoft run key these programs will be executed under the context of the user and will have the account's associated permissions level the following run keys are created by default on windows systems: * <code>hkey current user\software\microsoft\windows\currentversion\run< code> * <code>hkey current user\software\microsoft\wi windows",persistence+privilege-escalation
"trusted relationship adversaries may breach or otherwise leverage organizations who have access to intended victims access through trusted third party relationship abuses an existing connection that may not be protected or receives less scrutiny than standard mechanisms of gaining access to a network organizations often grant elevated access to second or third party external providers in order to allow them to manage internal systems as well as cloud based environments some examples of these relationships include it services contractors, managed security providers, infrastructure contractors e g hvac, elevat iaas identity provider linux macos office suite saas windows",initial-access
"cloud account adversaries may create a cloud account to maintain access to victim systems with a sufficient level of access, such accounts may be used to establish secondary credentialed access that does not require persistent remote access tools to be deployed on the system citation: microsoft o365 admin roles citation: microsoft support o365 add another admin, october 2019 citation: aws create iam user citation: gcp create cloud identity users citation: microsoft azure ad users in addition to user accounts, cloud accounts may be associated with services cloud providers handle the concept of servi iaas saas office suite identity provider",persistence
"local groups adversaries may attempt to find local system groups and permission settings the knowledge of local system permission groups can help adversaries determine which groups exist and which users belong to a particular group adversaries may use this information to determine which users have elevated permissions, such as the users found within the local administrators group commands such as <code>net localgroup< code> of the net utility, <code>dscl list groups< code> on macos, and <code>groups< code> on linux can list local groups linux macos windows",discovery
"search open websites domains adversaries may search freely available websites and or domains for information about victims that can be used during targeting information about victims may be available in various online sites, such as social media, new sites, or those hosting information about business operations such as hiring or requested rewarded contracts citation: cyware social media citation: securitytrails google hacking citation: exploitdb googlehacking adversaries may search in different online sites depending on what information they seek to gather information from these sources may reveal opportunities for pre",reconnaissance
"account manipulation adversaries may manipulate accounts to maintain and or elevate access to victim systems account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups citation: fireeye smokedham june 2021 these actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials in order to create or manipulate accounts, the adversary must already have suff containers esxi iaas identity provider linux macos network devices office suite saas windows",persistence+privilege-escalation
"exfiltration over alternative protocol adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel the data may also be sent to an alternate network location from the main command and control server alternate protocols include ftp, smtp, http s, dns, smb, or any other network protocol not being used as the main command and control channel adversaries may also opt to encrypt and or obfuscate these alternate channels exfiltration over alternative protocol can be done using various common operating system utilities s esxi iaas linux macos network devices office suite saas windows",exfiltration
"kernel modules and extensions adversaries may modify the kernel to automatically execute programs on system boot loadable kernel modules lkms are pieces of code that can be loaded and unloaded into the kernel upon demand they extend the functionality of the kernel without the need to reboot the system for example, one type of module is the device driver, which allows the kernel to access hardware connected to the system citation: linux kernel programming when used maliciously, lkms can be a type of kernel mode rootkit that run with the highest operating system privilege macos linux",persistence+privilege-escalation
"delay execution adversaries may employ various time based methods to evade detection and analysis these techniques often exploit system clocks, delays, or timing mechanisms to obscure malicious activity, blend in with benign activity, and avoid scrutiny adversaries can perform this behavior within virtualization sandbox environments or natively on host systems adversaries may utilize programmatic commands or native system scheduling functionality, for example scheduled task job benign commands or other operations may also be used to delay malware exec linux macos windows",defense-evasion
"gui input capture adversaries may mimic common operating system gui components to prompt users for credentials with a seemingly legitimate prompt when programs are executed that need additional privileges than are present in the current user context, it is common for the operating system to prompt the user for proper credentials to authorize the elevated privileges for the task ex: bypass user account control adversaries may mimic this functionality to prompt users for credentials with a seemingly legitimate prompt for a number of reasons that mimic normal u linux macos windows",collection+credential-access
"network device firewall adversaries may disable network device based firewall mechanisms entirely or add, delete, or modify particular rules in order to bypass controls limiting network usage adversaries may obtain access to devices such as routers, switches, or other perimeter network devices and change access control lists acls , security zones, or policy rules to permit otherwise blocked traffic for example, adversaries may add new network firewall rules to allow access to all internal network subnets without restrictions allowing access to internal network subsets may enable unrestricted inbound outbound c network devices",defense-evasion
"tool adversaries may buy, steal, or download software tools that can be used during targeting tools can be open or closed source, free or commercial a tool can be used for malicious purposes by an adversary, but unlike malware were not intended to be used for those purposes ex: psexec adversaries may obtain tools to support their operations, including to support execution of post compromise behaviors tools may also be leveraged for testing – for example, evaluating malware against commercial antivirus or endpoint detection and response edr appl pre",resource-development
"exfiltration over usb adversaries may attempt to exfiltrate data over a usb connected physical device in certain circumstances, such as an air gapped network compromise, exfiltration could occur via a usb device introduced by a user the usb device could be used as the final exfiltration point or to hop between otherwise disconnected systems linux windows macos",exfiltration
kernelcallbacktable adversaries may abuse the <code>kernelcallbacktable< code> of a process to hijack its execution flow in order to run their own payloads citation: lazarus apt january 2022 citation: finfisher exposed the <code>kernelcallbacktable< code> can be found in the process environment block peb and is initialized to an array of graphic functions available to a gui process once <code>user32 dll< code> is loaded citation: windows process injection kernelcallbacktable an adversary may hijack the execution flow of a process using the <code>kernelcallbacktable< code> by replacing an original callbac windows,defense-evasion+execution
"search closed sources adversaries may search and gather information about victims from closed e g , paid, private, or otherwise not freely available sources that can be used during targeting information about victims may be available for purchase from reputable private sources and databases, such as paid subscriptions to feeds of technical threat intelligence data adversaries may also purchase information from less reputable sources such as dark web or cybercrime blackmarkets citation: zdnet selling data adversaries may search in different closed databases depending on what information they seek to gather i pre",reconnaissance
"systemd timers adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code systemd timers are unit files with file extension <code> timer< code> that control services timers can be set to run on a calendar event or after a time span relative to a starting point they can be used as an alternative to cron in linux environments citation: archlinux systemd timers aug 2020 systemd timers may be activated remotely via the <code>systemctl< code> command line utility, which operates over ssh linux",execution+persistence+privilege-escalation
"phishing adversaries may send phishing messages to gain access to victim systems all forms of phishing are electronically delivered social engineering phishing can be targeted, known as spearphishing in spearphishing, a specific individual, company, or industry will be targeted by the adversary more generally, adversaries can conduct non targeted phishing, such as in mass malware spam campaigns adversaries may send victims emails containing malicious attachments or links, typically to execute malicious code on victim systems phishing may also be conducted via third party services, like social me identity provider linux macos office suite saas windows",initial-access
"rommonkit adversaries may abuse the rom monitor rommon by loading an unauthorized firmware with adversary code to provide persistent access and manipulate device behavior that is difficult to detect citation: cisco synful knock evolution citation: cisco blog legacy device attacks rommon is a cisco network device firmware that functions as a boot loader, boot image, or boot helper to initialize hardware and software when the platform is powered on or reset similar to tftp boot an adversary may upgrade the rommon image locally or remotely for exa network devices",defense-evasion+persistence
"compiled html file adversaries may abuse compiled html files chm to conceal malicious code chm files are commonly distributed as part of the microsoft html help system chm files are compressed compilations of various content such as html documents, images, and scripting web related programming languages such vba, jscript, java, and activex citation: microsoft html help may 2018 chm content is displayed using underlying components of the internet explorer browser citation: microsoft html help activex loaded by the html help executable program hh exe citation: microsoft html help executable program windows",defense-evasion
"compute hijacking adversaries may leverage the compute resources of co opted systems to complete resource intensive tasks, which may impact system and or hosted service availability one common purpose for compute hijacking is to validate transactions of cryptocurrency networks and earn virtual currency adversaries may consume enough system resources to negatively impact and or cause affected machines to become unresponsive citation: kaspersky lazarus under the hood blog 2017 servers and cloud based systems are common targets because of the high potential fo windows iaas linux macos containers",impact
network share connection removal adversaries may remove share connections that are no longer useful in order to clean up traces of their operation windows shared drive and smb windows admin shares connections can be removed when no longer needed net is an example utility that can be used to remove network share connections with the <code>net use \\system\share delete< code> command citation: technet net use windows,defense-evasion
"multi hop proxy adversaries may chain together multiple proxies to disguise the source of malicious traffic typically, a defender will be able to identify the last proxy traffic traversed before it enters their network; the defender may or may not be able to identify any previous proxies before the last hop proxy this technique makes identifying the original source of the malicious traffic even more difficult by requiring the defender to trace malicious traffic through several proxies to identify its source for example, adversaries may construct or use onion routing networks – such as the publicly availab esxi linux macos network devices windows",command-and-control
"brute force adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained citation: trendmicro pawn storm dec 2020 without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism citation: dragos crashoverride 2018 brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes brute forcing credent containers esxi iaas identity provider linux macos network devices office suite saas windows",credential-access
"unix shell adversaries may abuse unix shell commands and scripts for execution unix shells are the primary command prompt on linux, macos, and esxi systems, though many variations of the unix shell exist e g sh, ash, bash, zsh, etc depending on the specific os or distribution citation: dienet bash citation: apple zshell unix shells can control every aspect of a system, with certain commands requiring elevated privileges unix shells also support scripts that enable sequential execution of commands as well as other typical programming operations such as conditionals and loops common uses of shel esxi linux macos network devices",execution
"outlook forms adversaries may abuse microsoft outlook forms to obtain persistence on a compromised system outlook forms are used as templates for presentation and functionality in outlook messages custom outlook forms can be created that will execute code when a specifically crafted email is sent by an adversary utilizing the same custom outlook form citation: sensepost outlook forms once malicious forms have been added to the user’s mailbox, they will be loaded when outlook is started malicious forms will execute when an adversary sends a specifically crafted email to the user citation: sensepost ou windows office suite",persistence
"remote access hardware an adversary may use legitimate remote access hardware to establish an interactive command and control channel to target systems within networks these services, including ip based keyboard, video, or mouse kvm devices such as tinypilot and pikvm, are commonly used as legitimate tools and may be allowed by peripheral device policies within a target environment remote access hardware may be physically installed and used post compromise as an alternate communications channel for redundant access or as a way to establish an interactive remote session with the target system using hardware b linux macos windows",command-and-control
"data manipulation adversaries may insert, delete, or manipulate data in order to influence external outcomes or hide activity, thus threatening the integrity of the data citation: sygnia elephant beetle jan 2022 by manipulating data, adversaries may attempt to affect a business process, organizational understanding, or decision making the type of modification and the impact it will have depends on the target application and process as well as the goals and objectives of the adversary for complex systems, an adversary would likely need special expertise and possibly access to specialized software related to linux macos windows",impact
"inter process communication adversaries may abuse inter process communication ipc mechanisms for local code or command execution ipc is typically used by processes to share data, communicate with each other, or synchronize execution ipc is also commonly used to avoid situations such as deadlocks, which occurs when processes are stuck in a cyclic waiting pattern adversaries may abuse ipc to execute arbitrary code or commands ipc mechanisms may differ depending on os, but typically exists in a form accessible through programming languages libraries or native interfaces such as windows dynamic data exchange https: linux macos windows",execution
"data obfuscation adversaries may obfuscate command and control traffic to make it more difficult to detect citation: bitdefender funnydream campaign november 2020 command and control c2 communications are hidden but not necessarily encrypted in an attempt to make the content more difficult to discover or decipher and to make the communication less conspicuous and hide commands from being seen this encompasses many methods, such as adding junk data to protocol traffic, using steganography, or impersonating legitimate protocols esxi linux macos windows",command-and-control
"data from network shared drive adversaries may search network shares on computers they have compromised to find files of interest sensitive data can be collected from remote systems via shared network drives host shared directory, network file server, etc that are accessible from the current system prior to exfiltration interactive command shells may be in use, and common functionality within cmd may be used to gather information linux macos windows",collection
"web services adversaries may compromise access to third party web services that can be used during targeting a variety of popular websites exist for legitimate users to register for web based services, such as github, twitter, dropbox, google, sendgrid, etc adversaries may try to take ownership of a legitimate user's access to a web service and use that web service as infrastructure in support of cyber operations such web services can be abused during later stages of the adversary lifecycle, such as during command and control web service exfiltration over pre",resource-development
"modify system image adversaries may make changes to the operating system of embedded network devices to weaken defenses and provide new capabilities for themselves on such devices, the operating systems are typically monolithic and most of the device functionality and capabilities are contained within a single file to change the operating system, the adversary typically only needs to affect this one file, replacing or modifying it this can either be done live in memory during system runtime for immediate effect, or in storage to implement the change on the next boot of the network device network devices",defense-evasion
"hijack execution flow adversaries may execute their own malicious payloads by hijacking the way operating systems run programs hijacking execution flow can be for the purposes of persistence, since this hijacked execution may reoccur over time adversaries may also use these mechanisms to elevate privileges or evade defenses, such as application control or other restrictions on execution there are many ways an adversary may hijack the flow of execution, including by manipulating how the operating system locates programs to be executed how the operating system locates libraries to be used by a program can also b linux macos windows",defense-evasion+execution
"browser fingerprint adversaries may attempt to blend in with legitimate traffic by spoofing browser and system attributes like operating system, system language, platform, user agent string, resolution, time zone, etc the http user agent request header is a string that lets servers and network peers identify the application, operating system, vendor, and or version of the requesting user agent citation: mozilla user agent adversaries may gather this information through system information discovery or by users navigating to adversary controlled websites, and then u linux macos windows",defense-evasion
"lua adversaries may abuse lua commands and scripts for execution lua is a cross platform scripting and programming language primarily designed for embedded use in applications lua can be executed on the command line through the stand alone lua interpreter , via scripts <code> lua< code> , or from lua embedded programs through the <code>struct lua state< code> citation: lua main page citation: lua state lua scripts may be executed by adversaries for malicious purposes adversaries may incorporate, abuse, or replace existing lua interpreters to allow for malicious lua command execution at linux network devices windows macos",execution
"indicator removal from tools adversaries may remove indicators from tools if they believe their malicious tool was detected, quarantined, or otherwise curtailed they can modify the tool by removing the indicator and using the updated version that is no longer detected by the target's defensive systems or subsequent targets that may use similar systems a good example of this is when malware is detected with a file signature and quarantined by anti virus software an adversary who can determine that the malware was quarantined because of its file signature may modify the file to explicitly avoid that signature, and then linux macos windows",defense-evasion
"malicious image adversaries may rely on a user running a malicious image to facilitate execution amazon web services aws amazon machine images amis , google cloud platform gcp images, and azure images as well as popular container runtimes such as docker can be backdoored backdoored images may be uploaded to a public repository via upload malware and users may then download and deploy an instance or container from the image without realizing the image is malicious, thus bypassing techniques that specifically achieve initial access this can lead to the e iaas containers",execution
"container service adversaries may create or modify container or container cluster management tools that run as daemons, agents, or services on individual hosts these include software for creating and managing individual containers, such as docker and podman, as well as container cluster node level agents such as kubelet by modifying these services, an adversary may be able to achieve persistence or escalate their privileges on a host for example, by using the or command with the directive, a container can be configured to persistently restart on the host citation: containers",persistence+privilege-escalation
"valid accounts adversaries may obtain and abuse credentials of existing accounts as a means of gaining initial access, persistence, privilege escalation, or defense evasion compromised credentials may be used to bypass access controls placed on various resources on systems within the network and may even be used for persistent access to remote systems and externally available services, such as vpns, outlook web access, network devices, and remote desktop citation: volexity 0day sophos fw compromised credentials may also grant an adversary increased privilege to specific systems or access to restricted are containers esxi iaas identity provider linux macos network devices office suite saas windows",defense-evasion+initial-access+persistence+privilege-escalation
"non standard port adversaries may communicate using a protocol and port pairing that are typically not associated for example, https over port 8088 citation: symantec elfin mar 2019 or port 587 citation: fortinet agent tesla april 2018 as opposed to the traditional port 443 adversaries may make changes to the standard port used by a protocol to bypass filtering or muddle analysis parsing of network data adversaries may also make changes to victim systems to abuse non standard ports for example, registry keys and other configuration settings can be used to modify protocol and port pairings citation: chan esxi linux macos windows",command-and-control
"social media accounts adversaries may create and cultivate social media accounts that can be used during targeting adversaries can create social media accounts that can be used to build a persona to further operations persona development consists of the development of public information, presence, history and appropriate affiliations citation: newscaster2014 citation: blackhatrobinsage for operations incorporating social engineering, the utilization of a persona on social media may be important these personas may be fictitious or impersonate real people the persona may exist on a single social media site or pre",resource-development
"process hollowing adversaries may inject malicious code into suspended and hollowed processes in order to evade process based defenses process hollowing is a method of executing arbitrary code in the address space of a separate live process process hollowing is commonly performed by creating a process in a suspended state then unmapping hollowing its memory, which can then be replaced with malicious code a victim process can be created with native windows api calls such as <code>createprocess< code>, which includes a flag to suspend the processes primary thread at this point the process can be unmapped u windows",defense-evasion+privilege-escalation
"exploitation for privilege escalation adversaries may exploit software vulnerabilities in an attempt to elevate privileges exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary controlled code security constructs such as permission levels will often hinder access to information and use of certain techniques, so adversaries will likely need to perform privilege escalation to include use of software exploitation to circumvent those restrictions when initially gaining access to a containers linux macos windows",privilege-escalation
"resource forking adversaries may abuse resource forks to hide malicious code or executables to evade detection and bypass security applications a resource fork provides applications a structured way to store resources such as thumbnail images, menu definitions, icons, dialog boxes, and code citation: macos hierarchical file system overview usage of a resource fork is identifiable when displaying a file’s extended attributes, using <code>ls l@< code> or <code>xattr l< code> commands resource forks have been deprecated and replaced with the application bundle structure non localized resources are placed a macos",defense-evasion
"account access removal adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users accounts may be deleted, locked, or manipulated ex: changed credentials, revoked permissions for saas platforms such as sharepoint to remove access to accounts citation: obsidian security saas ransomware june 2023 adversaries may also subsequently log off and or perform a system shutdown reboot to set malicious changes into place citation: carbonblack lockergoga 2019 citation: unit42 lockergoga 2019 in windows linux macos windows saas iaas office suite esxi",impact
"credential stuffing adversaries may use credentials obtained from breach dumps of unrelated accounts to gain access to target accounts through credential overlap occasionally, large numbers of username and password pairs are dumped online when a website or service is compromised and the user account credentials accessed the information may be useful to an adversary attempting to compromise accounts by taking advantage of the tendency for users to use the same passwords across personal and business accounts credential stuffing is a risky option because it could cause numerous authentication failures and accoun containers esxi iaas identity provider linux macos network devices office suite saas windows",credential-access
"obfuscated files or information adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit this is common behavior that can be used across different platforms and the network to evade defenses payloads may be compressed, archived, or encrypted in order to avoid detection these payloads may be used during initial access or later to mitigate detection sometimes a user's action may be required to open and deobfuscate decode files or information for user execut esxi linux macos network devices windows",defense-evasion
"multi factor authentication adversaries may disable or modify multi factor authentication mfa mechanisms to enable persistent access to compromised accounts once adversaries have gained access to a network by either compromising an account lacking mfa or by employing an mfa bypass method such as multi factor authentication request generation adversaries may leverage their access to modify or completely disable mfa defenses this can be accomplished by abusing legitimate features, such as excluding users from azure ad conditional access policies, registering a new yet vuln iaas identity provider linux macos office suite saas windows",credential-access+defense-evasion+persistence
